TSH_CODE,TSH_STAG_DATE,TSH_TRX_STAG,TSH_TST_CODE,TRANSACTION_STAGE_LABEL,ROWID
"58,294",2020-12-20 22:52:32.895,00,"58,752",,AAAW1ZAAFAABcrEADF
"58,302",2020-12-20 22:52:43.806,00,"58,761",,AAAW1ZAAFAABcrEADG
"58,303",2020-12-20 22:52:44.444,00,"58,765",,AAAW1ZAAFAABcrEADH
"58,316",2020-12-20 22:52:48.403,00,"58,777",,AAAW1ZAAFAABcrEADI
"58,319",2020-12-20 22:52:48.747,00,"58,779",,AAAW1ZAAFAABcrEADJ
"58,326",2020-12-20 22:52:52.502,00,"58,786",,AAAW1ZAAFAABcrEADK
"58,328",2020-12-20 22:52:52.805,00,"58,790",,AAAW1ZAAFAABcrEADL
"58,341",2020-12-20 22:52:59.002,00,"58,802",,AAAW1ZAAFAABcrEADM
"58,344",2020-12-20 22:52:59.126,00,"58,805",,AAAW1ZAAFAABcrEADN
"58,346",2020-12-20 22:53:00.745,00,"58,783",,AAAW1ZAAFAABcrEADO
"58,355",2020-12-20 22:53:02.407,00,"58,815",,AAAW1ZAAFAABcrEADP
"58,357",2020-12-20 22:53:02.518,00,"58,817",,AAAW1ZAAFAABcrEADQ
"58,358",2020-12-20 22:53:02.883,00,"58,818",,AAAW1ZAAFAABcrEADR
"58,362",2020-12-20 22:53:04.515,00,"58,824",,AAAW1ZAAFAABcrEADS
"58,369",2020-12-20 22:53:07.309,00,"58,831",,AAAW1ZAAFAABcrEADT
"58,374",2020-12-20 22:53:07.605,00,"58,836",,AAAW1ZAAFAABcrEADU
"58,376",2020-12-20 22:53:08.1,00,"58,840",,AAAW1ZAAFAABcrEADV
"58,378",2020-12-20 22:53:08.652,00,"58,839",,AAAW1ZAAFAABcrEADW
"58,383",2020-12-20 22:53:09.377,00,"58,843",,AAAW1ZAAFAABcrEADX
"58,386",2020-12-20 22:53:10.062,00,"58,847",,AAAW1ZAAFAABcrEADY
"58,391",2020-12-20 22:53:13.558,00,"58,857",,AAAW1ZAAFAABcrEADZ
"58,396",2020-12-20 22:53:14.081,00,"58,860",,AAAW1ZAAFAABcrEADa
"58,401",2020-12-20 22:53:18.524,00,"58,866",,AAAW1ZAAFAABcrEADb
"58,402",2020-12-20 22:53:18.707,00,"58,867",,AAAW1ZAAFAABcrEADc
"58,403",2020-12-20 22:53:19.036,00,"58,871",,AAAW1ZAAFAABcrEADd
"58,410",2020-12-20 22:53:20.52,00,"58,874",,AAAW1ZAAFAABcrEADe
"58,415",2020-12-20 22:53:23.426,00,"58,880",,AAAW1ZAAFAABcrEADf
"58,418",2020-12-20 22:53:23.517,00,"58,881",,AAAW1ZAAFAABcrEADg
"58,425",2020-12-20 22:53:24.259,00,"58,861",,AAAW1ZAAFAABcrEADh
"58,427",2020-12-20 22:53:25.967,00,"58,889",,AAAW1ZAAFAABcrEADi
"58,441",2020-12-20 22:53:28.996,00,"58,885",,AAAW1ZAAFAABcrEADj
"58,443",2020-12-20 22:53:30.197,00,"58,905",,AAAW1ZAAFAABcrEADk
"58,447",2020-12-20 22:53:30.984,00,"58,894",,AAAW1ZAAFAABcrEADl
"58,458",2020-12-20 22:53:35.974,00,"58,919",,AAAW1ZAAFAABcrEADm
"58,463",2020-12-20 22:53:36.736,00,"58,924",,AAAW1ZAAFAABcrEADn
"58,466",2020-12-20 22:53:38.07,00,"58,927",,AAAW1ZAAFAABcrEADo
"58,469",2020-12-20 22:53:38.689,00,"58,930",,AAAW1ZAAFAABcrEADp
"58,470",2020-12-20 22:53:39.415,00,"58,933",,AAAW1ZAAFAABcrEADq
"58,479",2020-12-20 22:53:41.552,00,"58,940",,AAAW1ZAAFAABcrEADr
"58,491",2020-12-20 22:53:44.193,00,"58,952",,AAAW1ZAAFAABcrEADs
"58,497",2020-12-20 22:53:45.696,00,"58,959",,AAAW1ZAAFAABcrEADt
"58,499",2020-12-20 22:53:46.294,00,"58,925",,AAAW1ZAAFAABcrEADu
"58,501",2020-12-20 22:53:46.496,00,"58,961",,AAAW1ZAAFAABcrEADv
"58,504",2020-12-20 22:53:46.621,00,"58,962",,AAAW1ZAAFAABcrEADw
"58,508",2020-12-20 22:53:47.588,00,"58,968",,AAAW1ZAAFAABcrEADx
"58,524",2020-12-20 22:53:52.05,00,"58,983",,AAAW1ZAAFAABcrFAAA
"58,526",2020-12-20 22:53:52.18,00,"58,987",,AAAW1ZAAFAABcrFAAB
"58,527",2020-12-20 22:53:52.424,00,"58,989",,AAAW1ZAAFAABcrFAAC
"58,529",2020-12-20 22:53:53.069,00,"58,990",,AAAW1ZAAFAABcrFAAD
"58,513",2020-12-20 22:53:48.692,00,"58,971",,AAAW1ZAAFAABcrFAAE
"58,531",2020-12-20 22:53:52.973,00,"58,992",,AAAW1ZAAFAABcrFAAF
"58,540",2020-12-20 22:53:54.732,00,"59,001",,AAAW1ZAAFAABcrFAAG
"58,541",2020-12-20 22:53:56.184,00,"59,002",,AAAW1ZAAFAABcrFAAH
"58,552",2020-12-20 22:53:58.137,00,"59,013",,AAAW1ZAAFAABcrFAAI
"58,557",2020-12-20 22:53:58.557,00,"59,019",,AAAW1ZAAFAABcrFAAJ
"58,561",2020-12-20 22:53:59.622,00,"59,022",,AAAW1ZAAFAABcrFAAK
"58,563",2020-12-20 22:53:59.801,00,"59,024",,AAAW1ZAAFAABcrFAAL
"58,568",2020-12-20 22:54:02.349,00,"59,027",,AAAW1ZAAFAABcrFAAM
"58,577",2020-12-20 22:54:04.475,00,"59,037",,AAAW1ZAAFAABcrFAAN
"58,583",2020-12-20 22:54:05.338,00,"59,042",,AAAW1ZAAFAABcrFAAO
"58,589",2020-12-20 22:54:08.208,00,"59,050",,AAAW1ZAAFAABcrFAAP
"58,592",2020-12-20 22:54:09.33,00,"59,058",,AAAW1ZAAFAABcrFAAQ
"58,594",2020-12-20 22:54:09.344,00,"59,057",,AAAW1ZAAFAABcrFAAR
"58,595",2020-12-20 22:54:11.091,00,"59,062",,AAAW1ZAAFAABcrFAAS
"58,596",2020-12-20 22:54:11.123,00,"59,060",,AAAW1ZAAFAABcrFAAT
"58,608",2020-12-20 22:54:14.622,00,"59,055",,AAAW1ZAAFAABcrFAAU
"58,615",2020-12-20 22:54:15.111,00,"59,079",,AAAW1ZAAFAABcrFAAV
"58,617",2020-12-20 22:54:15.702,00,"59,080",,AAAW1ZAAFAABcrFAAW
"58,618",2020-12-20 22:54:15.707,00,"59,083",,AAAW1ZAAFAABcrFAAX
"58,619",2020-12-20 22:54:15.717,00,"59,081",,AAAW1ZAAFAABcrFAAY
"58,630",2020-12-20 22:54:20.72,00,"59,094",,AAAW1ZAAFAABcrFAAZ
"58,635",2020-12-20 22:54:22.675,00,"59,087",,AAAW1ZAAFAABcrFAAa
"58,637",2020-12-20 22:54:23.911,00,"59,098",,AAAW1ZAAFAABcrFAAb
"58,645",2020-12-20 22:54:29.027,00,"59,104",,AAAW1ZAAFAABcrFAAc
"58,657",2020-12-20 22:54:31.427,00,"59,117",,AAAW1ZAAFAABcrFAAd
"58,660",2020-12-20 22:54:32.885,00,"59,120",,AAAW1ZAAFAABcrFAAe
"58,668",2020-12-20 22:54:35.267,00,"59,129",,AAAW1ZAAFAABcrFAAf
"58,675",2020-12-20 22:54:38.201,00,"59,135",,AAAW1ZAAFAABcrFAAg
"58,677",2020-12-20 22:54:40.242,00,"59,137",,AAAW1ZAAFAABcrFAAh
"58,683",2020-12-20 22:54:40.716,00,"59,141",,AAAW1ZAAFAABcrFAAi
"58,688",2020-12-20 22:54:42.219,00,"59,148",,AAAW1ZAAFAABcrFAAj
"58,693",2020-12-20 22:54:44.664,00,"59,155",,AAAW1ZAAFAABcrFAAk
"58,698",2020-12-20 22:54:45.548,00,"59,158",,AAAW1ZAAFAABcrFAAl
"58,703",2020-12-20 22:54:45.504,00,"59,161",,AAAW1ZAAFAABcrFAAm
"58,708",2020-12-20 22:54:46.855,00,"59,168",,AAAW1ZAAFAABcrFAAn
"58,709",2020-12-20 22:54:47.099,00,"59,169",,AAAW1ZAAFAABcrFAAo
"58,711",2020-12-20 22:54:47.554,00,"59,172",,AAAW1ZAAFAABcrFAAp
"58,714",2020-12-20 22:54:48.436,00,"59,173",,AAAW1ZAAFAABcrFAAq
"58,715",2020-12-20 22:54:48.803,00,"59,175",,AAAW1ZAAFAABcrFAAr
"58,730",2020-12-20 22:54:52.052,00,"59,189",,AAAW1ZAAFAABcrFAAs
"58,741",2020-12-20 22:54:55.275,00,"59,200",,AAAW1ZAAFAABcrFAAt
"58,753",2020-12-20 22:54:56.901,00,"59,213",,AAAW1ZAAFAABcrFAAu
"58,762",2020-12-20 22:55:01.916,00,"59,223",,AAAW1ZAAFAABcrFAAv
"58,779",2020-12-20 22:55:03.594,00,"59,237",,AAAW1ZAAFAABcrFAAw
"58,780",2020-12-20 22:55:04.03,00,"59,240",,AAAW1ZAAFAABcrFAAx
"58,781",2020-12-20 22:55:04.029,00,"59,241",,AAAW1ZAAFAABcrFAAy
"58,783",2020-12-20 22:55:07.108,00,"59,242",,AAAW1ZAAFAABcrFAAz
"58,785",2020-12-20 22:55:08.516,00,"59,245",,AAAW1ZAAFAABcrFAA0
