TEM_CODE,TEM_DATE_TIME,TEM_ACS_TRX_ID,TEM_DS_TRX_ID,TEM_ERRR_CMPN,TEM_ERRR_CODE,TEM_ERRR_DSCR,TEM_ERRR_DTLS,TEM_ERRR_MSSG_TYPE,TEM_MSSG_VRSN_NMBR,TEM_SDK_TRX_ID,TEM_TDS_SRVR_TRX_ID,TEM_3ST_CODE,TEM_CRT_CODE,ROWID
"2,667",2020-06-16 17:54:16.25,01cbd844-2dc1-4e52-8a77-ec7275c3a1f9,9a83bd0b-ffce-48ca-844f-1764193d46cb,S,305,Transaction Data Invalid,3DS Server Transaction ID already processed,RReq,2.1.0,,fa80428b-aff1-11ea-bb71-7db13f2191e5,,,AAAW1bAAFAABco2AAT
"2,668",2020-06-16 18:09:25.796,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,205eb54b-aff4-11ea-a3a9-b1156fa776eb,,,AAAW1bAAFAABco2AAU
"2,669",2020-06-16 18:46:49.764,2f2689ed-c04a-47cb-87a7-7f7b71249a74,ed68028f-52b4-438b-960c-11d58094eb78,S,305,Transaction Data Invalid,3DS Server Transaction ID already processed,RReq,2.1.0,,58ecc203-aff9-11ea-ae14-3b1659d958e1,,,AAAW1bAAFAABco2AAV
"2,670",2020-06-16 19:13:00.524,c743d58e-87a4-4746-a4b0-8741ec615e69,bb5d1586-b21e-4971-9784-f5298256f3eb,S,305,Transaction Data Invalid,3DS Server Transaction ID already processed,RReq,2.1.0,,013098e3-affd-11ea-92de-474ee3723cf3,,,AAAW1bAAFAABco2AAW
"2,671",2020-06-16 19:21:45.421,6c8cec95-dcae-41a5-9f4f-4f84f88aee67,0564c7db-aa2e-4b71-8f41-487d693bcc08,S,305,Transaction Data Invalid,3DS Server Transaction ID already processed,RReq,2.1.0,,3a8526f4-affe-11ea-92de-fb296f321e84,,,AAAW1bAAFAABco2AAX
"2,672",2020-06-16 19:22:51.34,c526b31c-f948-4989-8b4a-d64c5a8c4a15,82e99b67-ec48-4573-97ae-598901a67066,S,305,Transaction Data Invalid,3DS Server Transaction ID already processed,RReq,2.1.0,,50759b75-affe-11ea-92de-7bc5dda51a52,,,AAAW1bAAFAABco2AAY
"2,673",2020-06-16 20:02:01.188,bbba1c2d-14c0-482f-815a-a408950cbe01,,S,101,Message not recognized,Invalid Message Type,,2.1.0,,dac1dd56-b003-11ea-92de-95012c8f301a,,,AAAW1bAAFAABco2AAZ
"2,674",2020-06-16 20:20:49.409,7985334f-2b54-499e-9ae6-d78c0a6610e9,578e5cfb-bd73-4668-aef8-2ff71ac433a0,S,305,Transaction Data Invalid,3DS Server Transaction ID already processed,RReq,2.1.0,,7afdd838-b006-11ea-92de-d1f1e6e52436,,,AAAW1bAAFAABco2AAa
"2,676",2020-06-16 20:33:53.211,3421cad8-3da5-4feb-95bd-48d9264a60b6,8c14b8bc-db58-4be2-8fe5-a7b4064a2ca6,S,201,Unsupported Message Version,Supported Message Versions are : 2.1.0,ARes,2.1.0,,4e3c413b-b008-11ea-b8c0-21669a8276bf,,,AAAW1bAAFAABco2AAc
"2,677",2020-06-16 20:33:53.914,9483060b-6781-4ac7-a0e8-503e43532722,d9d84dbe-d484-4872-805a-61e3b743cbe7,S,102,Unsupported Message Version,Supported Message Versions are : 2.1.0,ARes,2.1.0,,4e4ac039-b008-11ea-b8c0-a973a5ea2976,,,AAAW1bAAFAABco2AAd
"2,681",2020-06-16 20:33:59.598,cbda8876-395c-481a-ab97-1b41eff1e3ca,2fe648ed-73e1-44d1-b286-0902e3b3f5f4,S,201,Unsupported Message Version,Supported Message Versions are : 2.1.0,ARes,2.1.0,,51ff3cce-b008-11ea-b8c0-dd83bce54b39,,,AAAW1bAAFAABco2AAh
"2,420",2020-06-07 21:18:41.966,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,089db729-a8fc-11ea-9f83-474c050aa05b,,,AAAW1bAAFAABco3AAA
"2,421",2020-06-07 21:18:41.84,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,06e42035-a8fc-11ea-9f83-3d12be09d060,,,AAAW1bAAFAABco3AAB
